Substance name,Description,EC / List no,CAS no,Value,Date of inclusion in the POPs Regulation,POPs Regulation History,POPs Regulation Annex,First published
Polychlorinated dibenzo-p-dioxins and dibenzofurans (PCDD/PCDF),,-,-,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.217.01.0001.01.ENG&toc=OJ:L:2006:217:TOC"">Council Regulation (EC) No 1195/2006 of 18 July 2006 amending Annex IV to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.096.01.0033.01.ENG&toc=OJ:L:2009:096:TOC"">Commission Regulation (EC) No 304/2009 of 14 April 2009 amending Annexes IV and V to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex III, part A#Annex IV",12-Nov-2020
Polychlorinated naphthalenes,,-,-,Yes,19-Jun-2012,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.159.01.0001.01.ENG&toc=OJ:L:2012:159:TOC"">Commission Regulation (EU) No 519/2012 of 19 June 2012 amending Regulation (EC) No 850/2004 as regards as Annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex III, part B#Annex IV",12-Nov-2020
[No public or meaningful name is available],,-,-,Yes,19-Jun-2012,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.159.01.0001.01.ENG&toc=OJ:L:2012:159:TOC"">Commission Regulation (EU) No 519/2012 of 19 June 2012 amending Regulation (EC) No 850/2004 as regards as Annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex III, part B#Annex IV",12-Nov-2020
"Naphthalene, 1,2,3,4,5-pentachloro-",,-,67922-25-2,Yes,19-Jun-2012,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.159.01.0001.01.ENG&toc=OJ:L:2012:159:TOC"">Commission Regulation (EU) No 519/2012 of 19 June 2012 amending Regulation (EC) No 850/2004 as regards as Annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex III, part B#Annex IV",12-Nov-2020
[No public or meaningful name is available],,-,-,Yes,19-Jun-2012,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.159.01.0001.01.ENG&toc=OJ:L:2012:159:TOC"">Commission Regulation (EU) No 519/2012 of 19 June 2012 amending Regulation (EC) No 850/2004 as regards as Annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex III, part B#Annex IV",12-Nov-2020
"1,2,3,4-tetrachloronaphthalene",,622-398-0,20020-02-4,Yes,19-Jun-2012,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.159.01.0001.01.ENG&toc=OJ:L:2012:159:TOC"">Commission Regulation (EU) No 519/2012 of 19 June 2012 amending Regulation (EC) No 850/2004 as regards as Annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex III, part B#Annex IV",12-Nov-2020
[No public or meaningful name is available],,-,-,Yes,19-Jun-2012,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.159.01.0001.01.ENG&toc=OJ:L:2012:159:TOC"">Commission Regulation (EU) No 519/2012 of 19 June 2012 amending Regulation (EC) No 850/2004 as regards as Annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex III, part B#Annex IV",12-Nov-2020
[No public or meaningful name is available],,-,-,Yes,19-Jun-2012,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.159.01.0001.01.ENG&toc=OJ:L:2012:159:TOC"">Commission Regulation (EU) No 519/2012 of 19 June 2012 amending Regulation (EC) No 850/2004 as regards as Annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex III, part B#Annex IV",12-Nov-2020
[No public or meaningful name is available],,-,-,Yes,19-Jun-2012,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.159.01.0001.01.ENG&toc=OJ:L:2012:159:TOC"">Commission Regulation (EU) No 519/2012 of 19 June 2012 amending Regulation (EC) No 850/2004 as regards as Annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex III, part B#Annex IV",12-Nov-2020
[No public or meaningful name is available],,-,-,Yes,19-Jun-2012,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.159.01.0001.01.ENG&toc=OJ:L:2012:159:TOC"">Commission Regulation (EU) No 519/2012 of 19 June 2012 amending Regulation (EC) No 850/2004 as regards as Annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex III, part B#Annex IV",12-Nov-2020
[No public or meaningful name is available],,-,-,Yes,19-Jun-2012,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.159.01.0001.01.ENG&toc=OJ:L:2012:159:TOC"">Commission Regulation (EU) No 519/2012 of 19 June 2012 amending Regulation (EC) No 850/2004 as regards as Annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex III, part B#Annex IV",12-Nov-2020
[No public or meaningful name is available],,-,-,Yes,19-Jun-2012,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.159.01.0001.01.ENG&toc=OJ:L:2012:159:TOC"">Commission Regulation (EU) No 519/2012 of 19 June 2012 amending Regulation (EC) No 850/2004 as regards as Annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex III, part B#Annex IV",12-Nov-2020
[No public or meaningful name is available],,-,-,Yes,19-Jun-2012,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.159.01.0001.01.ENG&toc=OJ:L:2012:159:TOC"">Commission Regulation (EU) No 519/2012 of 19 June 2012 amending Regulation (EC) No 850/2004 as regards as Annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex III, part B#Annex IV",12-Nov-2020
[No public or meaningful name is available],,-,-,Yes,19-Jun-2012,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.159.01.0001.01.ENG&toc=OJ:L:2012:159:TOC"">Commission Regulation (EU) No 519/2012 of 19 June 2012 amending Regulation (EC) No 850/2004 as regards as Annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex III, part B#Annex IV",12-Nov-2020
[No public or meaningful name is available],,-,-,Yes,19-Jun-2012,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.159.01.0001.01.ENG&toc=OJ:L:2012:159:TOC"">Commission Regulation (EU) No 519/2012 of 19 June 2012 amending Regulation (EC) No 850/2004 as regards as Annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex III, part B#Annex IV",12-Nov-2020
[No public or meaningful name is available],,-,-,Yes,19-Jun-2012,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.159.01.0001.01.ENG&toc=OJ:L:2012:159:TOC"">Commission Regulation (EU) No 519/2012 of 19 June 2012 amending Regulation (EC) No 850/2004 as regards as Annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex III, part B#Annex IV",12-Nov-2020
[No public or meaningful name is available],,-,-,Yes,19-Jun-2012,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.159.01.0001.01.ENG&toc=OJ:L:2012:159:TOC"">Commission Regulation (EU) No 519/2012 of 19 June 2012 amending Regulation (EC) No 850/2004 as regards as Annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex III, part B#Annex IV",12-Nov-2020
[No public or meaningful name is available],,-,-,Yes,19-Jun-2012,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.159.01.0001.01.ENG&toc=OJ:L:2012:159:TOC"">Commission Regulation (EU) No 519/2012 of 19 June 2012 amending Regulation (EC) No 850/2004 as regards as Annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex III, part B#Annex IV",12-Nov-2020
[No public or meaningful name is available],,-,-,Yes,19-Jun-2012,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.159.01.0001.01.ENG&toc=OJ:L:2012:159:TOC"">Commission Regulation (EU) No 519/2012 of 19 June 2012 amending Regulation (EC) No 850/2004 as regards as Annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex III, part B#Annex IV",12-Nov-2020
[No public or meaningful name is available],,-,-,Yes,19-Jun-2012,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.159.01.0001.01.ENG&toc=OJ:L:2012:159:TOC"">Commission Regulation (EU) No 519/2012 of 19 June 2012 amending Regulation (EC) No 850/2004 as regards as Annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex III, part B#Annex IV",12-Nov-2020
[No public or meaningful name is available],,-,-,Yes,19-Jun-2012,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.159.01.0001.01.ENG&toc=OJ:L:2012:159:TOC"">Commission Regulation (EU) No 519/2012 of 19 June 2012 amending Regulation (EC) No 850/2004 as regards as Annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex III, part B#Annex IV",12-Nov-2020
[No public or meaningful name is available],,-,-,Yes,19-Jun-2012,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.159.01.0001.01.ENG&toc=OJ:L:2012:159:TOC"">Commission Regulation (EU) No 519/2012 of 19 June 2012 amending Regulation (EC) No 850/2004 as regards as Annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex III, part B#Annex IV",12-Nov-2020
