CR No.,CAS No,Chemical Name,AICIS Approved Chemical Name (AACN),Molecular Formula,Defined Scope Of Assessment,Conditions Of Use,Specific Information Requirement,Prescribed Information
41970,337906-36-2,"1,4-Benzenediamine, 2-(methoxymethyl)-",,C8H12N2O,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41971,2332283-67-5,"Fatty acids, C16-18 and C18-unsatd., polymers with benzoic acid, conjugated sunflower-oil fatty acids, pentaerythritol, phthalic anhydride and trimethylolpropane",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41972,1345987-44-1,"1,3'-Bipyridinium, 5'-[2-(3-aminophenyl)diazenyl]-1'-[3-(dimethylamino)propyl]-1',2'-dihydro-6'-hydroxy-4'-methyl-2'-oxo-, chloride, hydrochloride (1:1:1), diazotized, coupled with diazotized 5'-[2-(4-aminophenyl)diazenyl]-1'-[3-(dimethylamino)propyl]-1',2'-dihydro-6'-hydroxy-4'-methyl-2'-oxo-1,3'-bipyridinium chloride hydrochloride (1:1:1) and resorcinol",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41973,540734-22-3,"3-Cyclohexene-1-carboxylic acid, 2,6,6-trimethyl-, methyl ester, (1R,2S)-rel-",,C11H18O2,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41974,69011-40-1,"2-Propenoic acid, methyl ester, polymer with diethenylbenzene, ethenylethylbenzene and 2-propenenitrile, hydrolyzed, reaction products with N1,N1-dimethyl-1,3-propanediamine, chloromethane-quaternized",,(C10H12.C10H10.C5H14N2.C4H6O2.C3H3N.CH3Cl)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41976,1458681-69-0,"2-Propenoic acid, 2-methyl-, tetradecyl ester, polymer with 1-dodecene and 2,5-furandione, lauryl imide",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41977,1458769-48-6,"2-Propenoic acid, dodecyl ester, polymer with hexadecyl 2-propenoate and .alpha.-(2-methyl-1-oxo-2-propen-1-yl)-.omega.-hydroxypoly[oxy(methyl-1,2-ethanediyl)]",,(C19 H36 O2 . C15 H28 O2 . (C3 H6 O)n C4 H6 O2)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41978,425664-29-5,"2-Propenoic acid, 2-[methyl[(1,1,2,2,3,3,4,4,4-nonafluorobutyl)sulfonyl]amino]ethyl ester, polymer with octadecyl 2-propenoate",,(C21H40O2.C10H10F9NO4S)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41979,27815-37-8,"Decanedioic acid, polymer with 1,10-decanediamine",,(C10H24N2.C10H18O4)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41980,949495-68-5,"Oils, Schinus terebinthifolius",,Unspecified,"The chemical has been assessed:
           1.	as an essential oil of Schinus Terebinthifolius (Anacardiaceae) obtained from red berries by supercritical carbon dioxide extraction; and
          2.	as imported in fragrance formulations at less than or equal to 1 tonne/annum in volume and at less than or equal to 1% in concentration, with reformulation and/or repackaging occurring in Australia; and
         3.	for an end use as a fragrance ingredient in:
                            o	fine fragrances and air care products at concentrations of 1% or less,
                           o	deodorants at concentrations of 0.3% or less, and
                           o	other consumer household and cosmetic products at concentrations of 0.2% or less.
 

",,,
4199,314-13-6,"1,3-Naphthalenedisulfonic acid, 6,6'-[(3,3'-dimethyl[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[4-amino-5-hydroxy-, tetrasodium salt",,C34H28N6O14S4.4Na,,,,
41992,2123446-27-3,"Hexanedioic acid, polymer with .alpha.,.alpha.'-[[(4-methylphenyl)imino]di-2,1-ethanediyl]bis[.omega.-hydroxypoly(oxy-1,2-ethanediyl)]",,(C6H10O4.(C2H4O)n(C2H4O)nC11H17NO2)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
42,,Microgel AZS-522,,,,,,
42016,355-93-1,"2-Propenoic acid, 2-methyl-, 2,2,3,3,4,4,5,5-octafluoropentyl ester",,C9H8F8O2,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
42028,163440-74-2,"Soybean oil, polymer with benzoic acid, p-tert-butylbenzoic acid, pentaerythritol, phthalic anhydride and tung oil",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
42029,882029-46-1,"1,4-Benzenedicarboxylic acid, 1,4-dimethyl ester, polymer with 1,4-butanediol, 1,6-diisocyanatohexane, hexanedioic acid and 2-methyl-1,3-propanediol",,(C10H10O4.C8H12N2O2.C6H10O4.C4H10O2.C4H10O2)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
42030,157299-02-0,"Benzene, 1,3-bis(1-isocyanato-1-methylethyl)-, homopolymer",,(C14H16N2O2)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
42031,174200-88-5,"2-Propenoic acid, 2-methyl-, polymer with ethyl 2-propenoate and .alpha.-(2-methyl-1-oxo-2-propen-1-yl)-.omega.-[2,4,6-tris(1-phenylethyl)phenoxy]poly(oxy-1,2-ethanediyl)",,(C5H8O2.C4H6O2.(C2H4O)nC34H34O2)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
42032,3059877-50-5,"1,3-Propanediol, 2,2-bis(hydroxymethyl)-, polymer with 1,6-diisocyanatohexane, .alpha.-hydro-.omega.-hydroxypoly(oxy-1,2-ethanediyl) and oxirane, 1-nonanol-blocked",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
42033,3059877-47-0,"1,3-Propanediol, 2,2-bis(hydroxymethyl)-, polymer with 1,6-diisocyanatotrimethylhexane, .alpha.-hydro-.omega.-hydroxypoly(oxy-1,2-ethanediyl) and oxirane, 1-decanol- and lauryl alc.-blocked",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
42039,2376790-45-1,"2-Propenoic acid, 2-methyl-, 2-oxiranylmethyl ester, polymers with tert-Bu 3,5,5-trimethylhexaneperoxoate-initiated acrylic acid-Et acrylate-styrene polymer, Et acrylate and styrene, compds. with 2-(dimethylamino)ethanol",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
42040,1310362-62-9,"Siloxanes and Silicones, di-Me, 3-hydroxypropyl Me, Me hydrogen, ethoxylated, polymers with polypropylene glycol diallyl ether",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
42041,2007177-13-9,"1,3-Benzenedicarboxylic acid, polymer with 1,4-cyclohexanedimethanol, 1,2-ethanediamine, hexanedioic acid, 1,6-hexanediol, 3-hydroxy-2-(hydroxymethyl)-2-methylpropanoic acid, 1,1'-methylenebis[4-isocyanatocyclohexane] and 1,1'-[(1-methylethylidene)bis(4,1-phenyleneoxy)]bis[2-propanol], compd. with 2-(dimethylamino)ethanol",,(C21H28O4.C15H22N2O2.C8H16O2.C8H6O4.C6H14O2.C6H10O4.C5H10O4.C2H8N2)x.xC4H11NO,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
42042,816-19-3,"Hexanoic acid, 2-ethyl-, methyl ester",,C9H18O2,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
42044,141526-36-5,"Propanoic acid, 3-hydroxy-2-(hydroxymethyl)-2-methyl-, polymer with 2,2-dimethyl-1,3-propanediol, hydrazine, .alpha.-hydro-.omega.-hydroxypoly(oxy-1,4-butanediyl) and 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane, compd. with N,N-diethylethanamine",,(C12H18N2O2.C5H12O2.C5H10O4.(C4H8O)nH2O.H4N2)x.xC6H15N ,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
42045,2357157-00-5,"2-Propenoic acid, 2-methyl-, butyl ester, polymer with ethenylbenzene, 2-ethylhexyl 2-propenoate, 2-hydroxyethyl 2-methyl-2-propenoate, 2-oxepanone, 1,2-propanediol mono-2-propenoate and 2-propenoic acid, bis(1,1-dimethylpropyl) peroxide-initiated",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
42046,1533426-61-7,"Propanoic acid, 3-hydroxy-2-(hydroxymethyl)-2-methyl-, polymer with carbonic dihydrazide, 1,4-cyclohexanedimethanol, .alpha.-hydro-.omega.-hydroxypoly[oxy(methyl-1,2-ethanediyl)] and 1,1'-methylenebis[4-isocyanatocyclohexane], 3-(triethoxysilyl)-1-propanamine-blocked, hydrolyzed, compds. with triethylamine",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
42047,52238-01-4,"2-Propenoic acid, 2-methyl-, polymer with N-(1,1-dimethyl-3-oxobutyl)-2-propenamide and methyl 2-methyl-2-propenoate",,(C9H15NO2.C5H8O2.C4H6O2)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
42048,1920-05-4,"1-Dodecanamine, N,N-dimethyl-, acetate (1:1)",,C14H31N.C2H4O2,,,,
42049,2668-47-5,"[1,1'-Biphenyl]-4-ol, 3,5-bis(1,1-dimethylethyl)-",,C20H26O,,,,
4205,316-42-7,"Emetan, 6',7',10,11-tetramethoxy-, dihydrochloride",,C29H40N2O4.2ClH,,,,
42050,5116-94-9,"1-Tridecanol, 1-(dihydrogen phosphate)",,C13H29O4P,,,,
42051,5116-95-0,"1-Tridecanol, 1,1'-(hydrogen phosphate)",,C26H55O4P,,,,
42052,6257-39-2,"[1,1'-Biphenyl]-4-ol, 3,4',5-tris(1,1-dimethylethyl)-",,C24H34O,,,,
42053,15701-48-1,"Titanium, (2,4-pentanedionato-.kappa.O2,.kappa.O4)tris(2-propanolato)-",,C14H28O5Ti,,,,
42054,19812-92-1,"[1,1'-Biphenyl]-4-ol, 4'-(1,1-dimethylethyl)-",,C16H18O,,,,
42055,35946-91-9,"Phenol, 2,5-bis(1-methylethyl)-",,C12H18O,,,,
42056,42479-87-8,"[1,1'-Biphenyl]-4-ol, 3-(1,1-dimethylethyl)-",,C16H18O,,,,
42057,42479-88-9,"[1,1'-Biphenyl]-4-ol, 3,4'-bis(1,1-dimethylethyl)-",,C20H26O,,,,
42058,43184-66-3,"Titanium, tris(2,4-pentanedionato-.kappa.O2,.kappa.O4)(2-propanolato)-",,C18H28O7Ti,,,,
42059,51541-51-6,"1-Hexadecanol, 1-(hydrogen sulfate), compd. with 2,2'-iminobis[ethanol] (1:1)",,C16H34O4S.C4H11NO2,,,,
42060,61188-13-4,"Phosphoric acid, monoisooctyl ester, compd. with 2-ethyl-1-hexanamine (1:2)",,C8H19N.1/2C8H19O4P,,,,
42061,61188-14-5,"Phosphoric acid, diisooctyl ester, compd. with 2-ethyl-1-hexanamine (1:1)",,C16H35O4P.C8H19N,,,,
42062,65138-80-9,"Cuprate(1-), [2-[(29H,31H-phthalocyanin-C-yl-.kappa.N29,.kappa.N30,.kappa.N31,.kappa.N32)carbonyl]benzoato(3-)]-, hydrogen (1:1)",,C40H19CuN8O3.H,,,,
42063,11115-91-6,Iron manganese oxide,,Fe.Mn.O,,,,
42064,71487-01-9,"Quaternary ammonium compounds, dicoco alkyldimethyl, nitrites",,Unspecified,,,,
42065,72207-65-9,"Copper, [29H,31H-phthalocyaninato(2-)-.kappa.N29,.kappa.N30,.kappa.N31,.kappa.N32]-, chloro sulfo derivs.",,Unspecified,,,,
42066,19855-61-9,"1-Octadecanamine, N,N-dimethyl-, acetate (1:1)",,C20H43N.C2H4O2,,,,
42067,24287-35-2,"1-Tetradecanamine, N,N-dimethyl-, acetate (1:1)",,C16H35N.C2H4O2,,,,
42068,25324-14-5,"1-Hexadecanamine, N,N-dimethyl-, acetate (1:1)",,C18H39N.C2H4O2,,,,
42069,27236-51-7,"Hexadecen-1-ol, 1-(hydrogen sulfate), sodium salt (1:1)",,C16H32O4S.Na,,,,
4207,318-98-9,"2-Propanol, 1-[(1-methylethyl)amino]-3-(1-naphthalenyloxy)-, hydrochloride (1:1)",,C16H21NO2.ClH,,,,
42070,65121-88-2,"Tetradecen-1-ol, 1-(hydrogen sulfate), sodium salt (1:1)",,C14H28O4S.Na,,,,
42071,65229-24-5,"Chromium, .mu.-hydroxytetrahydroxy[.mu.-(tetradecanoato-.kappa.O:.kappa.O')]di-",,C14H32Cr2O7,,,,
42073,29297-55-0,"2-pyrrolidinone, 1-ethenyl-, polymer with 1-ethenyl-1H-imidazole",,(C6H9NO.C5H6N2)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
42074,12037-47-7,Silicon phosphate (Si3(PO4)4),,O4P.Si,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
42075,55739-89-4,"Cyclohexanone, 2-ethyl-4,4-dimethyl-",,C10H18O,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
42076,592479-38-4,"2,5-Furandione, dihydro-, polymer with 1,1′-iminobis[2-propanol], benzoate (ester), N-benzoyl derivs.",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
